,0,1,2,3
87,30.69,32.05,10.62,
88,30.69,32.05,10.62,
89,30.69,32.05,10.62,
90,30.69,32.05,10.62,
91,30.69,32.05,10.62,
92,30.69,32.05,10.62,
93,30.69,32.05,10.62,
94,30.69,32.05,10.62,
95,30.69,32.05,10.62,
96,30.69,32.05,10.62,
97,30.69,32.05,10.62,
98,30.69,32.05,10.62,
99,30.69,32.05,10.62,
100,30.69,32.05,10.62,
101,30.69,32.05,10.62,
102,30.69,32.05,10.62,
103,30.69,32.05,10.62,
104,30.69,32.05,10.62,
105,30.69,32.05,10.62,
106,30.69,32.05,10.62,
107,30.69,32.05,10.62,
108,30.69,32.05,10.62,
109,30.69,32.05,10.62,
110,30.69,32.05,10.62,
111,30.69,32.05,10.62,
112,30.69,32.05,10.62,
113,30.69,32.05,10.62,
114,30.69,32.05,10.62,
115,30.69,32.05,10.62,
116,30.69,32.05,10.62,
117,30.69,32.05,10.62,
118,30.69,32.05,10.62,
119,30.69,32.05,10.62,
120,30.69,32.05,10.62,
121,30.69,32.05,10.62,
122,30.69,32.05,10.62,
123,30.69,32.05,10.62,
124,30.69,32.05,10.62,
125,30.69,32.05,10.62,
126,30.69,32.05,10.62,
127,30.69,32.05,10.62,
128,30.69,32.05,10.62,
129,30.69,32.05,10.62,
130,30.69,32.05,10.62,
131,30.69,32.05,10.62,
132,30.69,32.05,10.62,
133,30.69,32.05,10.62,
134,30.69,32.05,10.62,
135,30.69,32.05,10.62,
136,30.69,32.05,10.62,
137,30.69,32.05,10.62,
138,30.69,32.05,10.62,
139,30.69,32.05,10.62,
140,30.69,32.05,10.62,
141,30.69,32.05,10.62,
142,30.69,32.05,10.62,
143,30.69,32.05,10.62,
144,30.69,32.05,10.62,
145,30.69,32.05,10.62,
146,30.69,32.05,10.62,
147,30.69,32.05,10.62,
148,30.69,32.05,10.62,
149,30.69,32.05,10.62,
150,30.69,32.05,10.62,
151,30.69,32.05,10.62,
152,30.69,32.05,10.62,
153,30.69,32.05,10.62,
154,30.69,32.05,10.62,
155,30.69,32.05,10.62,
156,30.69,32.05,10.62,
157,30.69,32.05,10.62,
158,30.69,32.05,10.62,
159,30.69,32.05,10.62,
160,30.69,32.05,10.62,
161,30.69,32.05,10.62,
162,30.69,32.05,10.62,
163,30.69,32.05,10.62,
164,30.69,32.05,10.62,
165,30.69,32.05,10.62,
166,30.69,32.05,10.62,
167,30.69,32.05,10.62,
168,30.69,32.05,10.62,
169,30.69,32.05,10.62,
170,30.69,32.05,10.62,
171,30.69,32.05,10.62,
172,30.69,32.05,10.62,
173,30.69,32.05,10.62,
174,30.69,32.05,10.62,
175,30.69,32.05,10.62,
176,30.69,32.05,10.62,
177,30.69,32.05,10.62,
178,30.69,32.05,10.62,
179,30.69,32.05,10.62,
180,30.69,32.05,10.62,
181,30.69,32.05,10.62,
182,30.69,32.05,10.62,
183,30.69,32.05,10.62,
184,30.69,32.05,10.62,
185,30.69,32.05,10.62,
186,30.69,32.05,10.62,
187,30.69,32.05,10.62,
188,30.69,32.05,10.62,
189,30.69,32.05,10.62,
190,30.69,32.05,10.62,
191,30.69,32.05,10.62,
192,30.69,32.05,10.62,
193,30.69,32.05,10.62,
194,30.69,32.05,10.62,
195,30.69,32.05,10.62,
196,30.69,32.05,10.62,
197,30.69,32.05,10.62,
198,30.69,32.05,10.62,
199,30.69,32.05,10.62,
200,30.69,32.05,10.62,
201,30.69,32.05,10.62,
202,30.69,32.05,10.62,
203,30.69,32.05,10.62,
204,30.69,32.05,10.62,
205,30.69,32.05,10.62,
206,30.69,32.05,10.62,
207,30.69,32.05,10.62,
208,30.69,32.05,10.62,
209,30.69,32.05,10.62,
210,30.69,32.05,10.62,
211,30.69,32.05,10.62,
212,30.69,32.05,10.62,
213,30.69,32.05,10.62,
214,30.69,32.05,10.62,
215,30.69,32.05,10.62,
216,30.69,32.05,10.62,
217,30.69,32.05,10.62,
218,30.69,32.05,10.62,
219,30.69,32.05,10.62,
220,30.69,32.05,10.62,
221,30.69,32.05,10.62,
222,30.69,32.05,10.62,
223,30.69,32.05,10.62,
224,30.69,32.05,10.62,
225,30.69,32.05,10.62,
226,30.69,32.05,10.62,
227,30.69,32.05,10.62,
228,30.69,32.05,10.62,
229,30.69,32.05,10.62,
230,30.69,32.05,10.62,
231,30.69,32.05,10.62,
232,30.69,32.05,10.62,
233,30.69,32.05,10.62,
234,30.69,32.05,10.62,
235,30.69,32.05,10.62,
236,30.69,32.05,10.62,
237,30.69,32.05,10.62,
238,30.69,32.05,10.62,
239,30.69,32.05,10.62,
240,30.69,32.05,10.62,
241,30.69,32.05,10.62,
242,30.69,32.05,10.62,
243,30.69,32.05,10.62,
244,30.69,32.05,10.62,
245,30.69,32.05,10.62,
246,30.69,32.05,10.62,
247,30.69,32.05,10.62,
248,30.69,32.05,10.62,
249,30.69,32.05,10.62,
250,30.69,32.05,10.62,
251,30.69,32.05,10.62,
252,30.69,32.05,10.62,
253,30.69,32.05,10.62,
254,30.69,32.05,10.62,
255,30.69,32.05,10.62,
256,30.69,32.05,10.62,
257,30.69,32.05,10.62,
258,30.69,32.05,10.62,
259,30.69,32.05,10.62,
260,30.69,32.05,10.62,
261,30.69,32.05,10.62,
262,30.69,32.05,10.62,
263,30.69,32.05,10.62,
264,30.69,32.05,10.62,
265,30.69,32.05,10.62,
266,30.69,32.05,10.62,
267,30.69,32.05,10.62,
268,30.69,32.05,10.62,
269,30.69,32.05,10.62,
270,30.69,32.05,10.62,
271,30.69,32.05,10.62,
272,30.69,32.05,10.62,
273,30.69,32.05,10.62,
274,30.69,32.05,10.62,
275,30.69,32.05,10.62,
276,30.69,32.05,10.62,
277,30.69,32.05,10.62,
