s.no,s.temp,o.temp,step
474,89.29,89.15,10.05
475,89.29,89.19,9.99
476,89.33,88.79,10
477,89.26,88.75,10.02
478,89.29,88.32,9.99
479,89.22,89.01,9.92
480,89.29,88.93,10.03
481,89.22,89.19,10.04
482,89.33,88.79,10.01
483,89.29,88.65,10.02
484,89.26,89.08,10.07
485,89.26,89.08,10.25
486,89.29,89.8,9.82
487,89.26,90.66,10.18
488,89.26,91.38,10.1
489,89.29,91.2,10.07
490,89.29,91.24,10.07
491,89.26,89.04,10.05
492,89.29,89.19,10.08
493,89.26,89.26,10.03
494,89.33,89.19,10.09
495,89.37,89.15,10.04
496,89.29,89.08,10.09
497,89.26,89.26,10.12
498,89.29,88.79,10.05
499,89.29,89.08,10.06
500,89.29,89.15,10.06
501,89.29,89.15,10.06
502,89.26,88.83,10.19
503,89.33,89.04,10.16
504,89.26,88.79,10.05
505,89.26,89.04,10.09
506,89.29,89.19,10.11
507,89.26,89.04,9.88
508,89.26,89.26,10.02
509,89.26,89.19,10.11
510,89.26,89.04,10.08
511,89.29,89.29,10.09
512,89.33,89.26,10.1
513,89.26,89.08,10.6
514,89.29,89.04,10.14
515,89.22,89.8,10.04
516,89.26,89.33,10.28
517,89.29,89.29,9.97
518,89.29,89.55,9.92
519,89.26,89.29,9.94
520,89.26,89.51,9.51
521,89.29,91.13,9.8
522,89.33,90.55,10.07
523,89.33,90.73,9.99
524,89.29,90.7,9.93
525,89.29,90.7,10.01
526,89.29,90.88,10.02
527,89.33,90.88,9.92
528,89.33,90.59,9.96
529,89.33,90.7,9.96
530,89.33,90.59,9.83
531,89.37,90.59,9.97
532,89.37,90.55,9.99
533,89.33,90.66,9.97
534,89.37,90.84,10.03
535,89.29,90.84,9.99
536,89.37,90.66,9.96
537,89.37,90.66,10.03
538,89.37,90.84,10.01
539,89.4,90.7,10.01
540,89.33,90.48,9.98
541,89.4,90.19,10.05
542,89.37,90.05,9.97
543,89.37,90.23,10
544,89.33,90.55,10.03
545,89.33,90.66,10.04
546,89.33,90.48,10.02
547,89.33,90.45,10.04
548,89.33,90.45,10
549,89.37,90.34,10
550,89.37,90.48,10.01
551,89.37,90.66,10.01
552,89.37,90.7,10.05
553,89.33,90.55,10
554,89.37,90.7,10.04
555,89.37,90.59,10.03
556,89.4,90.66,10.03
557,89.4,90.48,10.05
558,89.37,90.66,9.98
559,89.4,90.55,10.02
560,89.4,90.7,10.04
561,89.37,90.7,10.11
562,89.4,90.59,10.1
563,89.47,90.48,9.99
564,89.4,90.41,10.01
565,89.4,90.45,10.27
566,89.4,90.55,10.06
567,89.4,90.45,10.16
568,89.4,90.55,10.09
569,89.4,90.59,10.1
570,89.37,90.66,10.03
571,89.4,90.88,10.15
572,89.37,90.66,10.04
573,89.51,90.81,10.06
574,89.4,90.59,10.04
575,89.4,90.59,10.1
576,89.37,90.73,10.11
577,89.37,90.59,10.09
578,89.37,90.95,10.13
579,89.47,90.66,10.11
580,89.4,90.7,10.11
581,89.47,90.81,10.11
582,89.37,90.66,10.08
583,89.4,90.59,10.11
584,89.4,90.66,10.06
585,89.4,90.59,10.13
586,89.4,90.66,9.94
587,89.47,90.66,10.22
588,89.4,90.45,10.05
589,89.4,90.81,10.09
590,89.4,90.34,10.13
591,89.47,90.41,10.09
592,89.47,90.59,10.02
593,89.4,90.66,10.14
594,89.4,90.73,10.05
595,89.47,90.59,9.99
596,89.47,90.81,10.09
597,89.51,90.84,9.95
598,89.47,90.84,10.11
599,89.47,90.66,10.05
600,89.47,90.73,10.12
601,89.4,90.55,10.07
602,89.4,90.7,10.07
603,89.4,90.81,9.97
604,89.51,90.84,10.09
605,89.47,90.84,10.05
606,89.4,90.73,10.11
607,89.47,90.66,10.12
608,89.4,90.7,10.04
609,89.4,90.81,10.11
610,89.47,90.73,10.09
611,89.51,90.81,9.95
612,89.51,90.88,10.11
613,89.47,91.09,10.05
614,89.47,90.95,9.85
615,89.55,90.88,10.07
616,89.55,90.88,10.11
617,89.55,90.7,10.06
618,89.51,90.59,10.15
619,89.55,90.66,10.01
620,89.58,90.59,10.06
621,89.47,90.45,10.08
622,89.55,90.59,10.11
623,89.51,90.66,10.1
624,89.55,90.23,10.02
625,89.55,90.16,10.09
626,89.51,89.94,8.91
627,89.55,90.09,10.63
628,89.55,90.73,10.58
629,89.58,90.55,10.19
630,89.55,90.66,10.13
631,89.55,90.55,9.92
632,89.51,90.16,9.69
633,89.55,90.05,10.06
634,89.55,89.55,9.87
635,89.55,89.58,10
636,89.47,89.51,10.01
637,89.51,89.76,10.1
638,89.51,90.41,10.05
639,89.58,89.91,10.2
640,89.51,90.45,10.12
641,89.47,89.98,11.11
642,89.4,89.76,9.44
643,89.47,90.16,11.05
644,89.51,89.91,9.73
645,89.47,89.58,9.74
646,89.47,89.83,9.75
647,89.4,89.4,9.79
648,89.33,89.55,9.79
649,89.37,90.23,9.91
650,89.33,90.16,9.94
651,89.33,90.05,9.86
652,89.33,89.91,9.73
653,89.33,89.8,9.67
654,89.33,90.05,9.98
655,89.37,89.94,9.87
656,89.29,89.76,9.92
657,89.33,90.19,9.91
658,89.29,89.98,9.85
659,89.26,90.05,9.82
660,89.33,89.94,9.77
661,89.26,89.83,10
662,89.26,90.09,9.88
663,89.29,89.8,9.95
664,89.29,90.34,10
665,89.26,90.19,9.16
666,89.26,90.23,10.15
667,89.22,90.23,9.98
668,89.26,90.34,10.07
669,89.26,89.98,10.02
670,89.29,89.65,9.93
671,89.22,89.91,9.94
672,89.22,89.69,9.93
673,89.26,89.44,9.86
674,89.22,89.4,9.92
675,89.22,89.69,10.12
676,89.19,89.4,9.87
677,89.19,89.4,9.93
678,89.01,90.59,13.84
679,89.19,89.94,9.46
680,89.22,89.4,9.78
681,89.19,89.08,9.43
682,89.22,88.79,9.88
683,89.19,89.29,9.73
684,89.19,89.08,9.91
685,89.15,89.08,10.06
686,89.11,89.58,9.7
687,89.15,90.16,9.68
688,89.11,90.19,9.79
689,89.08,90.19,9.66
